abc,ˈeɪˌbiˌsi
abs,ˈæbz
acc,ˌaɪˌsiˈsi
ace,ˈeɪs
act,ˈækt
ad,ˈæd
ada,ˈeɪdə
add,ˈæd
ads,ˈædz
age,ˈeɪdʒ
ago,əˈɡoʊ
ah,ˈɑ
ai,ˈaɪ
aid,ˈeɪd
aim,ˈeɪm
air,ˈɛɹ
aka,ˈɑkə
ali,ˈɑɫi
all,ˈɔɫ
alt,ˈɑɫt
am,ˈæm
amd,ˈeɪˌɛmˈdi
amp,ˈæmp
amy,ˈeɪmi
an,ˈæn
and,ˈænd
ant,ˈænt
any,ˈɛni
api,ˌeɪˌpiˈaɪ
app,ˈæp
apt,ˈæpt
arc,ˈɑɹk
are,ˈɑɹ
arm,ˈɑɹm
art,ˈɑɹt
as,ˈæz
ash,ˈæʃ
ask,ˈæsk
ass,ˈæs
at,ˈæt
atm,ˈeɪˌtiˈɛm
avi,ˈɑˌvi
aw,ˈɔ
aye,ˈaɪ
bad,ˈbæd
bag,ˈbæɡ
ban,ˈbæn
bar,ˈbɑɹ
bat,ˈbæt
bay,ˈbeɪ
bbc,ˌbibiˈsi
bc,ˌbiˈsi
be,ˈbi
bed,ˈbɛd
bee,ˈbi
ben,ˈbɛn
bet,ˈbɛt
bi,ˈbaɪ
bid,ˈbɪd
big,ˈbɪɡ
bin,ˈbɪn
bio,ˌbaɪˈoʊ
bit,ˈbɪt
bmw,ˈbiˌɛmˈdəbəɫju
bob,ˈbɑb
bon,ˈbɑn
bow,ˈbaʊ
box,ˈbɑks
boy,ˈbɔɪ
bra,ˈbɹɑ
bs,ˌbiˈɛs
bug,ˈbəɡ
bus,ˈbəs
but,ˈbət
buy,ˈbaɪ
by,ˈbaɪ
bye,ˈbaɪ
cab,ˈkæb
cam,ˈkæm
can,ˈkæn
cap,ˈkæp
car,ˈkɑɹ
cas,ˈkæs
cat,ˈkæt
cc,ˌsiˈsi
cd,ˌsiˈdi
cds,ˌsiˈdiz
ceo,ˈsiˌiˈoʊ
cgi,ˌsiˌɡiˈaɪ
chi,ˈkaɪ
cia,ˈsiˈaɪˈeɪ
cnn,ˈsiˈɛˈnɛn
co,ˈkoʊ
com,ˈkɑm
con,ˈkɑn
cop,ˈkɑp
cos,ˈkɔs
cow,ˈkaʊ
cpu,ˌsiˌpiˈju
crm,ˈsiˈɑˈɹɛm
cry,ˈkɹaɪ
ct,ˈkɔɹt
cum,ˈkəm
cup,ˈkəp
cut,ˈkət
cv,ˌsiˈvi
dad,ˈdæd
dam,ˈdæm
dan,ˈdæn
day,ˈdeɪ
dc,ˌdiˈsi
del,ˈdɛɫ
dev,ˈdɛv
did,ˈdɪd
die,ˈdaɪ
dig,ˈdɪɡ
dim,ˈdɪm
dip,ˈdɪp
dj,ˈdiˈdʒeɪ
dna,ˈdiˌɛˈneɪ
dns,ˌdiˌɛˈnɛs
do,ˈdu
doc,ˈdɑk
dog,ˈdɔɡ
dom,ˈdɑm
don,ˈdɑn
dos,ˈdoʊs
dot,ˈdɑt
dr,ˈdɑktɝ
dry,ˈdɹaɪ
due,ˈdju
duo,ˈduoʊ
dvd,ˌdiˌviˈdi
ear,ˈiɹ
eat,ˈit
eco,ˈɛkoʊ
egg,ˈɛɡ
eh,ˈɛ
end,ˈɛnd
eng,ˈɛŋ
era,ˈɛɹə
et,ˈɛt
etc,ˌɛtˈsɛtɝə
eva,ˈeɪvə
eve,ˈiv
ex,ˈɛks
eye,ˈaɪ
fan,ˈfæn
far,ˈfɑɹ
fat,ˈfæt
fax,ˈfæks
fbi,ˈɛfˈbiˈaɪ
fda,ˌɛfˌdiˈeɪ
fed,ˈfɛd
fee,ˈfi
few,ˈfju
fit,ˈfɪt
fix,ˈfɪks
flu,ˈfɫu
fly,ˈfɫaɪ
fog,ˈfɑɡ
foo,ˈfu
for,ˈfɔɹ
fox,ˈfɑks
ftp,ˌɛfˌtiˈpi
fun,ˈfən
fur,ˈfɝ
gap,ˈɡæp
gas,ˈɡæs
gay,ˈɡeɪ
gdp,ˈɡiˈdiˈpi
gel,ˈdʒɛɫ
geo,ˈdʒioʊ
get,ˈɡɛt
gig,ˈɡɪɡ
gnu,ˈnu
go,ˈɡoʊ
god,ˈɡɑd
got,ˈɡɑt
gps,ˈɡipiˈɛs
gun,ˈɡən
guy,ˈɡaɪ
gym,ˈdʒɪm
ha,ˈhɑ
had,ˈhæd
ham,ˈhæm
has,ˈhæz
hat,ˈhæt
he,ˈhi
her,ˈhɝ
hey,ˈheɪ
hi,ˈhaɪ
him,ˈhɪm
hip,ˈhɪp
his,ˈhɪz
hit,ˈhɪt
hiv,ˈeɪˈtʃaɪˈvi
ho,ˈhoʊ
hop,ˈhɑp
hot,ˈhɑt
how,ˈhaʊ
hp,ˈeɪtʃˈpi
hr,ˈeɪˈtʃɑɹ
hub,ˈhəb
ian,ˈiən
ibm,ˈaɪˌbiˌɛm
ice,ˈaɪs
id,ˈaɪˈdi
ide,ˈaɪd
ids,ˈaɪˈdiz
if,ˈɪf
ill,ˈɪɫ
in,ˈɪn
inc,ˈɪŋk
ink,ˈɪŋk
inn,ˈɪn
io,ˈaɪoʊ
ion,ˈaɪˌɑn
ip,ˈaɪˈpi
is,ˈɪz
it,ˈɪt
its,ˈɪts
jam,ˈdʒæm
jan,ˈdʒæn
jar,ˈdʒɑɹ
jet,ˈdʒɛt
jim,ˈdʒɪm
job,ˈdʒɑb
joe,ˈdʒoʊ
jon,ˈdʒɑn
joy,ˈdʒɔɪ
jr,ˈdʒunjɝ
jun,ˈdʒən
ken,ˈkɛn
key,ˈki
kid,ˈkɪd
kim,ˈkɪm
kit,ˈkɪt
la,ˈɫɑ
lab,ˈɫæb
lan,ˈɫæn
lap,ˈɫæp
las,ˈɛˈɫeɪˈɛs
lat,ˈɫæt
law,ˈɫɑ
lay,ˈɫeɪ
lb,ˈpaʊnd
lbs,ˈpaʊndz
led,ˈɫɛd
lee,ˈɫi
leg,ˈɫɛɡ
leo,ˈɫioʊ
les,ˈɫeɪ
let,ˈɫɛt
lib,ˈɫɪb
lid,ˈɫɪd
lie,ˈɫaɪ
lip,ˈɫɪp
log,ˈɫɔɡ
lol,ˈɫɔɫ
los,ˈɫoʊs
lot,ˈɫɑt
low,ˈɫoʊ
lp,ˈɛɫˈpi
ltd,ˈɛɫˈtiˈdi
ma,ˈmɑ
mac,ˈmæk
mad,ˈmæd
mag,ˈmæɡ
man,ˈmæn
map,ˈmæp
mat,ˈmæt
max,ˈmæks
may,ˈmeɪ
mba,ˈɛmˈbiˈeɪ
mc,ˈɛmˈsi
md,ˌɛmˈdi
me,ˈmi
mel,ˈmɛɫ
men,ˈmɛn
met,ˈmɛt
mg,ˌɛmˈɡi
mia,ˈmiə
mic,ˈmɪk
mid,ˈmɪd
mil,ˈmɪɫ
min,ˈmɪn
mit,ˈɛˈmaɪˈti
mix,ˈmɪks
mod,ˈmɔd
mom,ˈmɑm
mpg,ˈɛmˈpiˈdʒi
mph,ˈɛmˈpiˈeɪtʃ
mr,ˈmɪstɝ
mrs,ˈmɪsɪz
ms,ˈmɪz
mtv,ˈɛmˈtiˈvi
mu,ˈmu
mud,ˈməd
mug,ˈməɡ
my,ˈmaɪ
nba,ˈɛnˌbiˈeɪ
nbc,ˈɛnˌbiˈsi
neo,ˈnioʊ
net,ˈnɛt
new,ˈnju
nfl,ˈɛˌnɛˈfɛɫ
nil,ˈnɪɫ
no,ˈnoʊ
non,ˈnɑn
nor,ˈnɔɹ
not,ˈnɑt
now,ˈnaʊ
nut,ˈnət
oak,ˈoʊk
odd,ˈɑd
of,ˈəv
off,ˈɔf
oh,ˈoʊ
oil,ˈɔɪɫ
ok,ˈoʊˈkeɪ
old,ˈoʊɫd
on,ˈɑn
one,ˈwən
opt,ˈɑpt
or,ˈɔɹ
org,ˈɔɹɡ
our,ˈaʊɝ
out,ˈaʊt
own,ˈoʊn
oz,ˈɑz
pa,ˈpɑ
pad,ˈpæd
pal,ˈpæɫ
pan,ˈpæn
pay,ˈpeɪ
pc,ˈpiˈsi
pdf,ˌpiˌdiˈɛf
pee,ˈpi
pen,ˈpɛn
per,ˈpɝ
pet,ˈpɛt
ph,ˈpiˈeɪtʃ
phd,ˈpiˌeɪtʃˈdi
phi,ˈfaɪ
php,ˈpiˈeɪtʃˈpi
pi,ˈpaɪ
pic,ˈpɪk
pie,ˈpaɪ
pig,ˈpɪɡ
pin,ˈpɪn
pit,ˈpɪt
pm,ˈpiˈɛm
pod,ˈpɑd
ppm,ˈpiˈpiˈɛm
pr,ˈpiˈɑɹ
pre,ˈpɹi
pro,ˈpɹoʊ
psi,ˈsaɪ
pub,ˈpəb
put,ˈpʊt
ram,ˈɹæm
ran,ˈɹæn
rap,ˈɹæp
rat,ˈɹæt
raw,ˈɹɑ
ray,ˈɹeɪ
red,ˈɹɛd
ref,ˈɹɛf
reg,ˈɹɛɡ
rep,ˈɹɛp
rid,ˈɹɪd
rio,ˈɹioʊ
rip,ˈɹɪp
rna,ˌɑˌɹɛˈneɪ
rob,ˈɹɑb
rod,ˈɹɑd
rom,ˈɹɑm
ron,ˈɹɑn
row,ˈɹoʊ
rpm,ˈɑɹˈpiˈɛm
rug,ˈɹəɡ
run,ˈɹən
sad,ˈsæd
sam,ˈsæm
sat,ˈsæt
saw,ˈsɔ
say,ˈseɪ
sci,ˈɛsˈsiˈaɪ
sea,ˈsi
sec,ˈsɛk
see,ˈsi
set,ˈsɛt
sex,ˈsɛks
she,ˈʃi
sim,ˈsɪm
sin,ˈsɪn
sip,ˈsɪp
sir,ˈsɝ
sit,ˈsɪt
six,ˈsɪks
ski,ˈski
sky,ˈskaɪ
sms,ˌɛˌsɛˈmɛs
so,ˈsoʊ
son,ˈsən
spa,ˈspɑ
spy,ˈspaɪ
sql,ˈsikwʊɫ
st,ˈseɪnt
sub,ˈsəb
sue,ˈsu
sum,ˈsəm
sun,ˈsən
tab,ˈtæb
tag,ˈtæɡ
tan,ˈtæn
tap,ˈtæp
tar,ˈtɑɹ
tax,ˈtæks
tea,ˈti
ted,ˈtɛd
ten,ˈtɛn
the,ˈðə
thy,ˈðaɪ
tie,ˈtaɪ
tim,ˈtɪm
tin,ˈtɪn
tip,ˈtɪp
tit,ˈtɪt
to,ˈtu
toe,ˈtoʊ
tom,ˈtɑm
ton,ˈtən
too,ˈtu
top,ˈtɑp
toy,ˈtɔɪ
tri,ˈtɹaɪ
try,ˈtɹaɪ
tub,ˈtəb
tv,ˈtiˈvi
two,ˈtu
uh,ˈə
uk,ˌjuˈkeɪ
un,ˈən
up,ˈəp
ups,ˈəps
url,ˈʊɹɫ
us,ˈəs
usa,ˌjuˌɛˈseɪ
usb,ˈjuˈɛsˈbi
use,ˈjus
van,ˈvæn
vat,ˈvæt
via,ˈvaɪə
vip,ˌviˌaɪˈpi
vp,ˌviˈpi
vs,ˈviˈɛs
war,ˈwɔɹ
was,ˈwɑz
wax,ˈwæks
way,ˈweɪ
we,ˈwi
web,ˈwɛb
wed,ˈwɛd
wet,ˈwɛt
who,ˈhu
why,ˈhwaɪ
win,ˈwɪn
wit,ˈwɪt
won,ˈwɑn
wow,ˈwaʊ
xml,ˌɛkˌsɛˈmɛɫ
yea,ˈjeɪ
yen,ˈjɛn
yes,ˈjɛs
yet,ˈjɛt
you,ˈju
zen,ˈzɛn
zip,ˈzɪp
zoo,ˈzu
